CJ001,CJ002,CJ003,CJ004,CJ005,CJ006,CJ007,CJ008,CJ009,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
1.069359857,1.951601618,4.186917728,1.566843093,1.233689665,1.982809308,1.760624169,2.337057385,3.23200571,1.169431905,1.725160808,2.082237773,1.476182327,1.210820772,2.299501723,1.028071164,0.915206088,1.05582699
2.83380362,3.234082681,4.287807312,3.513526936,2.5950024,4.185930761,3.32562343,2.804468862,3.329945277,2.840048913,3.636825488,3.279524492,3.453709596,3.405433422,5.050691284,2.233395977,3.457445222,3.397008576
1.390167814,0.501840416,0.151334376,0.712201406,0.638115344,0.132187287,0.537968496,0.594887334,0,1.069194885,0.466259678,0.208223777,0.389934954,0.302705193,0.246375185,1.205324813,0.203379131,0
110.4648732,116.0366562,132.0140204,105.9280891,111.5851032,119.1888706,110.2346354,114.1333843,108.1742517,111.1294433,116.3317896,110.9312173,94.9213089,105.1900546,98.22157358,107.4157113,115.0447949,103.5169505
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106352189,0,0
304.8744951,314.1521005,318.6597505,280.9397146,292.4695328,300.7260783,286.2970523,304.4548393,303.0250202,313.3743383,305.446715,275.0636098,294.707268,295.7808118,300.413475,285.5556285,323.9151622,303.0223461
20.31783728,26.26298178,35.66446788,22.64800471,25.69477786,26.48151986,19.22014717,23.07313018,28.30453486,20.81588792,23.21973196,21.81144067,20.19306014,21.7190976,25.00708123,21.62494518,21.72767046,20.97882323
4.010099462,3.84744319,4.136472936,3.94084778,3.148035698,3.569056754,4.988435145,3.611815958,3.476854628,4.209954859,4.476092908,3.904195824,4.818481936,4.540577896,2.751189561,4.183186116,2.440549568,2.754331278
4.010099462,3.84744319,4.136472936,3.94084778,3.148035698,3.569056754,4.988435145,3.611815958,3.476854628,4.209954859,4.476092908,3.904195824,4.818481936,4.540577896,2.751189561,4.183186116,2.440549568,2.754331278
0.267339964,0,0.504447919,0,0.127623069,0.132187287,0.195624908,0.084983905,0.195879134,0.267298721,0.186503871,0.208223777,0.055704993,0.264867044,0.123187592,0.141802919,0.067793044,0.137716564
0,0,0,0,0,0,0,0,0,0,0,0.260279722,0,0,0,0,0,0
2.031783728,3.345602774,4.48958648,1.661803281,1.914346033,4.67061748,2.200780211,3.441848148,3.917582679,2.439100831,3.17056581,2.967188826,2.116789752,3.556786019,3.038627276,3.048762762,2.508342612,3.167480969
66.83499104,72.76686033,68.5544722,67.61165348,72.19211594,63.14146084,71.84324733,69.21939054,64.19938615,73.74103472,66.4420041,62.36302129,71.10742418,68.90326957,63.40054749,72.63854535,68.94552531,64.49725742
1.764443763,1.115200925,0.706227087,1.13952225,0.638115344,0.352499432,1.858436622,1.784662003,0.636607185,1.303081266,0.652763549,1.145230775,1.030542379,0.756762983,0.492750369,0.567211677,1.050792175,0.826299383
53.94920477,69.08669728,76.72652849,60.86948017,63.98169851,66.66645517,58.29622247,61.31588738,65.52157031,69.29719348,66.4420041,62.51918912,60.94126287,62.50862237,60.93679565,59.37997241,63.4881853,56.09654702
1.817911756,3.457122866,6.154264613,1.424402812,3.233117744,5.1553042,1.564999261,1.74217005,0.636607185,3.007110614,4.476092908,2.915132882,1.253362353,2.421641545,2.792252092,0.992620434,0.440654783,0.780393862
1.817911756,3.457122866,6.154264613,1.424402812,3.233117744,5.1553042,1.564999261,1.74217005,0.636607185,3.007110614,4.476092908,2.915132882,1.253362353,2.421641545,2.792252092,0.992620434,0.440654783,0.780393862
0.053467993,0.223040185,0.201779168,0.284880562,0,0.044062429,0.195624908,0.16996781,0.048969783,0,0.093251936,0,0.055704993,0.113514447,0.205312654,0.07090146,0,0.091811043
63.84078344,72.93414047,78.69387538,63.24348485,71.63908264,74.33331782,62.45325176,69.85676983,77.86195575,69.09671944,72.27025008,69.85907727,66.09397477,63.90863389,66.52129983,60.37259284,67.86083661,68.53694329
91.48373573,99.58744257,116.4265797,84.8944076,93.84549662,112.3151317,85.68370954,96.03181254,113.0222603,98.66664047,109.1980166,95.78293754,87.09475731,98.90892183,103.6418276,84.8335964,95.75767404,97.96238245
0,0,0,0.047480094,0,0.044062429,0,0,0,0,0,0,0,0,0,0,0,0
0,0.055760046,0,0.142440281,0,0.264374574,0.097812454,0,0.097939567,0,0.046625968,0,0.027852497,0.037838149,0.041062531,0,0.067793044,0.137716564
32.98975158,34.79426885,26.73573971,39.83579864,39.01011804,26.92214416,37.65779472,37.81783768,32.80975494,34.01376228,34.92284988,28.63076937,43.53345241,33.90298162,25.95151944,42.43452357,39.55724092,32.13386491
1.497103799,0.44608037,0.25222396,0.997081968,0.212705115,0.264374574,1.124843219,0.594887334,0.195879134,1.637204667,0.699389517,0.36439161,0.974837386,0.87027743,0.205312654,0.212704379,0.169482609,0.688582819
0,0.111520092,0,0.094960187,0.127623069,0.220312145,0.097812454,0.16996781,0.097939567,0,0.186503871,0,0.055704993,0.151352597,0,0,0,0.045905521
