LA1,LA2,LA3,SA1,SA2,SA3,O1,O2,O3
118.2554722,129.8951735,131.6169923,141.3959813,144.4915338,145.3941848,114.7444598,116.8003266,128.9003709
0.384570641,0.422423329,0.567314622,0,0,0.403872736,0.225874921,0,0
118.2554722,129.8951735,131.6169923,141.3959813,144.4915338,145.3941848,114.7444598,116.8003266,128.9003709
118.2554722,129.8951735,131.6169923,141.3959813,144.4915338,145.3941848,114.7444598,116.8003266,128.9003709
24.03566508,9.504524893,14.18286555,9.52408164,9.156341403,8.885200185,5.420998101,5.186515392,7.665436768
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
12.88311648,6.547561593,7.753299833,5.494662485,2.903230201,4.038727357,0.903499683,1.244763694,1.008610101
67.68443287,63.36349929,46.14158925,57.51080067,52.92811982,50.08021922,58.72747942,68.66946379,62.33210424
67.68443287,63.36349929,46.14158925,57.51080067,52.92811982,50.08021922,58.72747942,68.66946379,62.33210424
276.8908617,289.9936151,292.1670303,319.7893566,293.2262503,323.3001249,283.0212758,285.0508859,328.0000048
592.4310729,614.2035198,640.687313,624.1936583,602.9785802,586.0193394,602.8601638,569.47939,579.14392
18.6516761,20.6987431,21.93616538,31.13642075,22.55586541,21.60719136,12.64899557,18.4639948,24.0049204
74.02984845,84.69587738,86.98824203,70.69799064,82.40707263,89.25587458,63.69672768,44.60403237,66.97171071
96.52723097,72.86802418,73.94000572,77.65789645,75.03733442,73.90871063,90.80171819,84.02154935,91.17835313
0.576855962,0.422423329,0.378209748,0.366310832,0,0,0.677624763,0.829842463,0.40344404
1540.205418,1609.644094,1609.660687,1536.307631,1641.441691,1618.519988,1523.978091,1497.035803,1511.503097
0.192285321,0,0,0,0,0.201936368,0.225874921,0,0
